task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
j104461,0,token_batch,1.475,0.9767,11.0,0.5,3927.312,4,1,False,1.0,0.0
j104461,0,delay_tolerant,0.9283,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j104461,0,token_batch,1.475,0.0,11.0,0.5,4060.2,4,1,True,1.0,0.1169
j104461,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j104461,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j105288,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j105288,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j105288,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j105288,0,delay_sensitive,1.3383,0.0,10.0667,0.5,0.0,1,3,False,1.0,0.0
j106224,0,delay_sensitive,0.7917,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j106224,0,delay_sensitive,0.7917,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j106224,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j106544,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j106544,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j107349,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j107349,0,token_batch,2.5,1.007,18.0,0.5,4978.421,4,1,True,1.0,0.05
j107349,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j109174,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j113315,0,delay_tolerant,0.655,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j113315,0,token_batch,1.475,0.824,11.0,0.5,4216.694,4,1,False,1.0,0.0
j115325,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119267,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119267,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119594,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119827,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j122441,0,token_batch,1.475,0.9653,11.0,0.5,3937.296,4,1,True,1.0,0.1446
j125286,0,delay_sensitive,1.9533,0.0,14.2667,0.5,0.0,1,3,False,1.0,0.0
j125286,0,delay_sensitive,2.5,0.0,18.0,0.5,0.0,1,3,False,1.0,0.0
j126584,0,delay_sensitive,0.655,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j127806,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j127806,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j129510,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j135361,0,token_batch,1.475,1.2725,11.0,0.5,4124.992,4,1,True,1.0,0.0847
j135361,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j136924,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j140359,0,delay_tolerant,1.1333,0.0,8.6667,0.5,0.0,3,2,True,1.0,0.05
j142475,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j142475,0,delay_sensitive,0.7917,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j142475,0,delay_sensitive,1.3383,0.0,10.0667,0.5,0.0,1,3,False,1.0,0.0
j150730,0,delay_sensitive,1.065,0.0,8.2,0.5,0.0,1,3,False,1.0,0.0
j151786,0,delay_tolerant,0.655,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.0785
j151870,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j157216,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j157216,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j157216,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j157216,0,delay_sensitive,1.065,0.0,8.2,0.5,0.0,1,3,False,1.0,0.0
j157909,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j157909,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j157909,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
