task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
s-00-000,0,delay_sensitive,0.913,0.0,5.65,0.534,0.0,1,3,False,1.5,0.0
t-00-000,0,delay_tolerant,1.096,0.0,6.272,0.654,131.442,4,2,True,0.9,0.06
s-01-000,1,delay_sensitive,1.016,0.0,7.612,0.737,0.0,2,3,False,1.5,0.0
t-01-000,1,delay_tolerant,1.018,0.0,4.323,0.654,411.395,5,2,False,0.9,0.0
s-02-000,2,delay_sensitive,1.303,0.0,8.189,0.604,0.0,3,3,True,1.5,0.18
t-02-000,2,delay_tolerant,1.105,0.0,3.613,0.528,249.233,4,2,True,0.9,0.06
s-03-000,3,delay_sensitive,1.032,0.0,4.261,0.676,0.0,4,3,False,1.5,0.0
t-03-000,3,delay_tolerant,0.951,0.0,6.312,0.798,342.667,5,2,False,0.9,0.0
s-04-000,4,delay_sensitive,1.189,0.0,8.227,0.427,0.0,5,3,False,1.5,0.0
t-04-000,4,delay_tolerant,1.194,0.0,8.132,0.82,256.845,6,2,False,0.9,0.0
s-05-000,5,delay_sensitive,1.317,0.0,4.976,0.613,0.0,6,3,False,1.5,0.0
t-05-000,5,delay_tolerant,1.175,0.0,6.888,0.665,181.61,9,2,True,0.9,0.06
s-06-000,6,delay_sensitive,0.982,0.0,6.277,0.994,0.0,7,3,False,1.5,0.0
s-06-001,6,delay_sensitive,1.178,0.0,8.108,0.906,0.0,7,3,False,1.5,0.0
t-06-000,6,delay_tolerant,0.813,0.0,4.893,0.461,195.954,8,2,True,0.9,0.06
s-07-000,7,delay_sensitive,1.338,0.0,5.888,0.793,0.0,8,3,False,1.5,0.0
s-07-001,7,delay_sensitive,1.357,0.0,6.753,0.559,0.0,8,3,False,1.5,0.0
t-07-000,7,delay_tolerant,1.016,0.0,7.482,0.557,330.072,9,2,False,0.9,0.0
g-07-000,7,token_batch,0.599,0.883,12.935,1.253,2098.0,11,1,True,0.95,0.06
s-08-000,8,delay_sensitive,0.976,0.0,4.96,0.808,0.0,9,3,False,1.5,0.0
s-08-001,8,delay_sensitive,1.092,0.0,7.575,0.681,0.0,9,3,False,1.5,0.0
t-08-000,8,delay_tolerant,1.144,0.0,3.069,0.732,365.416,11,2,False,0.9,0.0
g-08-000,8,token_batch,0.307,1.185,9.116,1.061,4275.0,14,1,True,0.95,0.06
g-08-001,8,token_batch,0.582,1.326,10.634,1.1,1213.0,13,1,True,0.95,0.06
s-09-000,9,delay_sensitive,1.356,0.0,9.223,0.579,0.0,10,3,False,1.5,0.0
s-09-001,9,delay_sensitive,1.204,0.0,4.917,0.858,0.0,10,3,False,1.5,0.0
s-09-002,9,delay_sensitive,1.289,0.0,7.182,0.4,0.0,10,3,False,1.5,0.0
t-09-000,9,delay_tolerant,0.845,0.0,5.178,0.891,410.439,12,2,True,0.9,0.06
t-09-001,9,delay_tolerant,1.151,0.0,8.682,0.351,294.957,11,2,True,0.9,0.06
g-09-000,9,token_batch,0.413,0.875,14.598,1.368,4315.0,11,1,True,0.95,0.06
s-10-000,10,delay_sensitive,1.164,0.0,7.64,0.979,0.0,11,3,False,1.5,0.0
s-10-001,10,delay_sensitive,1.278,0.0,8.139,0.828,0.0,11,3,False,1.5,0.0
s-10-002,10,delay_sensitive,1.236,0.0,6.241,0.94,0.0,11,3,False,1.5,0.0
s-10-003,10,delay_sensitive,1.024,0.0,4.384,0.413,0.0,11,3,False,1.5,0.0
t-10-000,10,delay_tolerant,0.888,0.0,3.426,0.679,202.419,14,2,True,0.9,0.06
t-10-001,10,delay_tolerant,0.828,0.0,4.428,0.701,197.125,12,2,False,0.9,0.0
g-10-000,10,token_batch,0.574,1.143,12.727,1.271,4162.0,13,1,True,0.95,0.06
