场景,总能耗/kWh,总成本,平均时延/h,SLA违约率,任务完成率,CPU平均利用率,GPU平均利用率,负载不均衡度,峰谷差/kW,单位百万Token能耗/kWh,单位百万Token成本,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,配置跨区时延/h
基准场景,199.64628978701302,160.29513050826972,0.7866719858679223,0.09029950827000446,0.9097004917299956,0.7160238157824281,0.6896255591630592,0.2849439266203238,14.221395864935069,91.60247699160554,73.54722704796961,66,0.5739130434782609,1.8809999999999993,0.32999999999999996,0.11000000000000003,0.05
低负载0.8x,184.4554906181818,142.89348795310087,0.7850225154114212,0.06871508379888268,0.9312849162011173,0.584684784187798,0.5695716630591631,0.4907833261245087,11.610624696103896,90.20558872092458,69.88022509927531,66,0.4782608695652174,1.8809999999999991,0.32999999999999996,0.11000000000000003,0.05
高负载1.2x,201.1222216051948,161.66675871428737,0.5821612439408049,0.11866616989567809,0.8813338301043219,0.714774544729508,0.48569550865800865,0.40633128396560636,11.306151984415582,98.68635312567042,79.32640516709883,86,0.35390946502057613,2.4509999999999987,0.43,0.11000000000000003,0.05
GPU数量减半,176.7678207168831,141.35825757844694,0.7466812275642899,0.1124273580688422,0.8875726419311578,0.6590281089699469,0.6337670454545454,0.4153370186025467,8.793039194805196,99.10900862486756,79.25580975497347,82,0.4632768361581921,2.3369999999999993,0.4099999999999999,0.11000000000000004,0.05
功率上限收紧,177.5169642181818,144.52087321297495,0.6673373614306267,0.11309789897183728,0.8869021010281627,0.7871520090654958,0.5437637355699856,0.3850931070700221,5.807882332467532,94.9203610771016,77.27697197262327,86,0.38222222222222224,2.4509999999999987,0.42999999999999994,0.11000000000000003,0.05
低远端容量,192.7347721090909,149.19484742727064,0.9087819151687975,0.1086276262852034,0.8913723737147966,0.6040593840934155,0.7038031881313133,0.35913273280267227,9.464834446753247,99.66656343795326,77.15129741772452,50,0.2824858757062147,1.425,0.25,0.11000000000000001,0.05
高远端容量,201.7381422285714,169.75492941383726,0.6666321123683503,0.07510058113544926,0.9248994188645507,0.6438077638955494,0.710223106060606,0.3742691387973458,12.298101844155841,86.5690557268125,72.84454878977431,119,0.7828947368421053,3.4079999999999977,0.5950000000000001,0.11100840336134456,0.05
低迁移成本,198.1974458077922,161.3061915422957,0.8134022401278285,0.07666517657577113,0.9233348234242289,0.7393934178313137,0.5561658865440116,0.47278684397037657,11.332066254545458,86.7304165444815,70.58694993090167,72,0.48322147651006714,1.0259999999999996,0.36,0.11000000000000003,0.05
高迁移成本,191.65619267012988,160.34633961601412,0.6400570443466637,0.11756817165847117,0.8824318283415288,0.6838177381745724,0.5426357638888889,0.4810173097898347,11.664791693506494,96.56885842422048,80.79291753370063,66,0.6285714285714286,7.523999999999997,0.32999999999999996,0.11000000000000003,0.05
低跨区时延,199.64628978701302,160.29513050826972,0.7866719858679223,0.09029950827000446,0.9097004917299956,0.7160238157824281,0.6896255591630592,0.2849439266203238,14.221395864935069,91.60247699160554,73.54722704796961,66,0.5739130434782609,1.8809999999999993,0.32999999999999996,0.11000000000000003,0.05
中跨区时延,196.20821926233765,159.71145954137887,0.5631097327271813,0.08001788109074653,0.9199821189092534,0.6694836071170892,0.7358410082972583,0.2461663497217068,12.192082602597406,88.75141219478587,72.24273086661978,85,0.3881278538812785,2.4224999999999994,0.425,0.25999999999999995,0.2
高跨区时延,193.8946894441558,158.84659752868072,0.4908722627595985,0.089181940098346,0.910818059901654,0.6643314482537138,0.5811724657287157,0.3106816681768132,9.016899953246755,92.28964072455447,75.6075138430343,84,0.36681222707423583,2.3939999999999992,0.41999999999999993,0.5600000000000003,0.5
高电价波动,201.50391123116881,161.63475458576767,1.006521430868072,0.10616897630755476,0.8938310236924453,0.6842986164380358,0.66115625,0.3692384063192993,8.75924754285714,87.5589222766513,70.23469086783516,67,0.5929203539823009,1.9094999999999995,0.33499999999999996,0.11000000000000003,0.05
