hour,arrival_rate,price,carbon_factor,power_limit,renewable_ratio
0,3173,42.62,0.52,1.0,0.36
1,12658,40.53,0.51,1.0,0.38
2,25633,34.475,0.5,1.0,0.4
3,6422,40.45,0.49,0.913513136088848,0.42
4,2119,27.825,0.49,0.9319022716134788,0.45
5,960,36.66,0.5,0.7375484616160394,0.43
6,290,39.635,0.53,0.7506715041995049,0.3
7,66,38.355,0.56,0.7989142989963294,0.28
8,0,41.75,0.61,0.6611577959507704,0.24
9,0,44.870000000000005,0.64,0.5931021867841483,0.22
10,0,55.86000000000001,0.66,0.5019838586598635,0.21
11,0,50.165,0.67,0.5358404795974493,0.2
12,0,44.21,0.65,0.5707671355605125,0.26
13,0,42.165,0.63,0.5898964505046606,0.28
14,0,42.66,0.62,0.6226579444259405,0.3
15,0,56.835,0.63,0.6103227720558644,0.27
16,0,69.58,0.66,0.5855604081004858,0.22
17,0,62.5,0.69,0.6566762108504772,0.2
18,0,53.46,0.71,0.7297040598988533,0.18
19,0,40.87,0.7,0.7574356961399317,0.19
20,0,38.330000000000005,0.64,0.7339187824130059,0.26
21,0,31.905,0.6,0.7030377010405063,0.3
22,0,20.97,0.56,0.7021165253371001,0.34
23,0,15.97,0.54,0.6786897323429585,0.35
