actual_power_w,reported_power_w,power_cap_w,frequency_ghz
609.8400000000001,725.6385,540.19,1.4
640.0,700.9325,540.19,1.0
640.0,705.4245000000001,540.19,1.0
640.0,727.323,540.19,1.0
640.0,725.077,540.19,1.0
640.0,714.4085,540.19,1.0
640.0,717.216,540.19,1.0
640.0,736.307,540.19,1.0
846.7200000000001,704.863,540.19,1.2
846.7200000000001,723.9540000000001,540.19,1.2
640.0,711.601,540.19,1.0
640.0,711.0395,540.19,1.0
640.0,733.4995,540.19,1.0
640.0,729.0075,540.19,1.0
640.0,728.446,540.19,1.0
640.0,736.8685,540.19,1.0
640.0,715.5315,540.19,1.0
640.0,726.2,540.19,1.0
640.0,709.9165,540.19,1.0
640.0,720.585,540.19,1.0
640.0,712.724,540.19,1.0
640.0,716.6545,540.19,1.0
640.0,725.077,540.19,1.0
640.0,700.9325,540.19,1.0
640.0,750.3445,540.19,1.0
846.7200000000001,698.125,540.19,1.2
640.0,694.7560000000001,540.19,1.0
640.0,734.6225000000001,540.19,1.0
640.0,728.446,540.19,1.0
640.0,725.6385,540.19,1.0
640.0,725.6385,540.19,1.0
640.0,714.97,540.19,1.0
640.0,699.8095000000001,540.19,1.0
640.0,716.0930000000001,540.19,1.0
640.0,703.74,540.19,1.0
640.0,731.2535,540.19,1.0
640.0,712.724,540.19,1.0
640.0,700.9325,540.19,1.0
640.0,709.355,540.19,1.0
640.0,721.7080000000001,540.19,1.0
640.0,705.4245000000001,540.19,1.0
640.0,700.9325,540.19,1.0
640.0,718.9005000000001,540.19,1.0
640.0,718.9005000000001,540.19,1.0
640.0,706.5475,540.19,1.0
640.0,707.109,540.19,1.0
640.0,718.9005000000001,540.19,1.0
640.0,690.8255,540.19,1.0
640.0,691.3870000000001,540.19,1.0
640.0,702.6170000000001,540.19,1.0
640.0,711.601,540.19,1.0
640.0,720.0235,540.19,1.0
640.0,739.676,540.19,1.0
640.0,729.5690000000001,540.19,1.0
640.0,712.1625,540.19,1.0
640.0,714.4085,540.19,1.0
640.0,698.125,540.19,1.0
640.0,714.4085,540.19,1.0
640.0,709.9165,540.19,1.0
640.0,720.585,540.19,1.0
640.0,700.9325,540.19,1.0
640.0,723.9540000000001,540.19,1.0
640.0,740.799,540.19,1.0
640.0,713.2855000000001,540.19,1.0
640.0,721.7080000000001,540.19,1.0
640.0,726.7615000000001,540.19,1.0
640.0,708.232,540.19,1.0
640.0,718.9005000000001,540.19,1.0
640.0,714.97,540.19,1.0
640.0,716.6545,540.19,1.0
640.0,702.0555,540.19,1.0
640.0,715.5315,540.19,1.0
640.0,723.3925,540.19,1.0
846.7200000000001,739.676,540.19,1.2
846.7200000000001,731.2535,757.68,1.2
640.0,751.4675,757.68,1.0
640.0,702.0555,757.68,1.0
640.0,729.5690000000001,757.68,1.0
640.0,718.339,757.68,1.0
640.0,752.029,757.68,1.0
640.0,701.494,757.68,1.0
640.0,700.9325,757.68,1.0
640.0,704.863,757.68,1.0
640.0,679.034,757.68,1.0
640.0,705.986,757.68,1.0
640.0,702.0555,757.68,1.0
640.0,717.7775,757.68,1.0
640.0,720.585,757.68,1.0
640.0,746.414,757.68,1.0
640.0,731.2535,757.68,1.0
640.0,705.4245000000001,757.68,1.0
640.0,699.8095000000001,757.68,1.0
640.0,723.3925,757.68,1.0
640.0,692.51,757.68,1.0
640.0,745.8525000000001,757.68,1.0
640.0,734.6225000000001,757.68,1.0
640.0,707.109,757.68,1.0
640.0,686.3335000000001,757.68,1.0
640.0,737.9915,757.68,1.0
640.0,713.2855000000001,757.68,1.0
640.0,735.7455,757.68,1.0
640.0,688.018,757.68,1.0
640.0,704.863,757.68,1.0
640.0,714.97,757.68,1.0
640.0,715.5315,757.68,1.0
640.0,707.109,757.68,1.0
640.0,725.6385,757.68,1.0
640.0,697.0020000000001,757.68,1.0
640.0,712.724,757.68,1.0
640.0,717.216,757.68,1.0
640.0,723.3925,757.68,1.0
640.0,726.7615000000001,757.68,1.0
640.0,695.879,757.68,1.0
640.0,689.1410000000001,757.68,1.0
640.0,736.307,757.68,1.0
640.0,720.585,757.68,1.0
640.0,702.6170000000001,757.68,1.0
640.0,741.3605,757.68,1.0
640.0,716.6545,757.68,1.0
640.0,734.6225000000001,757.68,1.0
640.0,716.0930000000001,757.68,1.0
640.0,749.783,757.68,1.0
640.0,744.7295,757.68,1.0
640.0,711.0395,757.68,1.0
640.0,731.2535,757.68,1.0
640.0,725.6385,757.68,1.0
640.0,737.9915,757.68,1.0
640.0,698.6865,757.68,1.0
640.0,726.7615000000001,757.68,1.0
640.0,732.938,757.68,1.0
