hour,arrival_rate,price,carbon_factor,power_limit
0,907,42.62,0.52,1.0
1,1031,40.53,0.51,1.0
2,1912,34.475,0.5,1.0
3,2837,40.45,0.49,0.913513
4,4177,27.825,0.49,0.931902
5,6689,36.66,0.5,0.737548
6,7759,39.635,0.53,0.750671
7,11358,38.355,0.56,0.798914
8,7552,41.75,0.61,0.661158
9,2360,44.87,0.64,0.593102
10,939,55.86,0.66,0.501984
11,773,50.165,0.67,0.535841
12,832,44.21,0.65,0.570767
13,678,42.165,0.63,0.589896
14,435,42.66,0.62,0.622658
15,462,56.835,0.63,0.610323
16,211,69.58,0.66,0.58556
17,175,62.5,0.69,0.656676
18,97,53.46,0.71,0.729704
19,65,40.87,0.7,0.757436
20,23,36.96,0.64,0.733919
21,16,29.7,0.6,0.703038
22,14,15.72,0.56,0.702116
23,19,12.39,0.54,0.67869
