task_id,arrival_step,scheduled_start_step,execution_time_steps,end_step,arrival_time,deadline,task_type,cpu_demand,memory_demand,bandwidth_demand,priority,datacenter_id,server_room_id,rack_id,server_id,global_server_id,waiting_time_steps,deadline_violation,sample_marker
j119594,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,0,1,0,10,0.0,False,0.77395605
j600349,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,0,4,3,1043,0.0,False,0.43887844
j728811,0.0,0.0,8.0,8.0,0,1,delay_sensitive,6.0,4.0,0.5,3,2,0,3,2,2032,0.0,False,0.85859792
j109174,0.0,0.0,12.0,12.0,0,2,delay_sensitive,12.0,6.0,0.5,3,3,0,1,8,3018,0.0,False,0.69736803
j54287,0.0,0.0,4.0,4.0,0,0,delay_sensitive,4.0,4.0,0.5,3,0,1,1,9,119,0.0,False,0.09417735
j54287,0.0,0.0,15.0,15.0,0,3,delay_sensitive,12.0,6.0,0.5,3,1,1,6,0,1160,0.0,False,0.97562235
j650514,0.0,0.0,13.0,13.0,0,3,delay_sensitive,9.0,4.5,0.5,3,2,1,0,1,2101,0.0,False,0.7611397
j54287,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,1,3,3,3133,0.0,False,0.78606431
j387830,0.0,0.0,15.0,15.0,0,3,delay_sensitive,8.0,4.0,0.5,3,0,2,8,9,289,0.0,False,0.12811363
j525230,0.0,0.0,2.0,2.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,2,0,8,1208,0.0,False,0.45038594
j757631,0.0,0.0,9.0,9.0,0,2,delay_sensitive,6.0,4.0,0.5,3,2,2,3,8,2238,0.0,False,0.37079802
j131110,0.0,0.0,14.0,14.0,0,3,delay_sensitive,13.0,6.5,0.5,3,3,2,6,3,3263,0.0,False,0.92676499
j806950,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,0,3,7,9,379,0.0,False,0.64386512
j241884,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,3,4,0,1340,0.0,False,0.82276161
j700313,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,2,3,2,6,2326,0.0,False,0.4434142
j610121,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,3,5,4,3354,0.0,False,0.22723872
j700313,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,4,2,3,423,0.0,False,0.55458479
j269438,0.0,0.0,9.0,9.0,0,2,delay_sensitive,6.0,4.0,0.5,3,1,4,5,1,1451,0.0,False,0.06381726
j571568,0.0,0.0,1.0,1.0,0,0,delay_sensitive,1.0,4.0,0.5,3,2,4,1,6,2416,0.0,False,0.82763117
j142475,0.0,0.0,15.0,15.0,0,3,delay_sensitive,11.0,5.5,0.5,3,3,4,1,5,3415,0.0,False,0.6316644
j43281,0.0,0.0,6.0,6.0,0,1,delay_sensitive,1.0,4.0,0.5,3,0,5,5,9,559,0.0,False,0.75808774
j757631,0.0,0.0,2.0,2.0,0,0,delay_sensitive,1.0,4.0,0.5,3,1,5,4,0,1540,0.0,False,0.35452597
j382275,0.0,0.0,15.0,15.0,0,3,delay_sensitive,14.0,7.0,0.5,3,2,5,7,8,2578,0.0,False,0.97069802
j734726,0.0,0.0,10.0,10.0,0,2,delay_sensitive,1.0,4.0,0.5,3,3,5,1,6,3516,0.0,False,0.89312112
j454954,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,6,1,8,618,0.0,False,0.7783835
j387830,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,1,6,4,9,1649,0.0,False,0.19463871
j45254,0.0,0.0,15.0,15.0,0,3,delay_sensitive,7.0,4.0,0.5,3,2,6,5,9,2659,0.0,False,0.466721
j224254,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,3,6,3,1,3631,0.0,False,0.04380377
j700313,0.0,0.0,15.0,15.0,0,3,delay_sensitive,15.0,7.5,0.5,3,0,7,0,3,703,0.0,False,0.15428949
