task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
j104461,0,token_batch,1.475,0.9767,11.0,0.5,3927.312,4,1,False,1.0,0.0
j104461,0,delay_tolerant,0.9283,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j104461,0,token_batch,1.475,0.0,11.0,0.5,4060.2,4,1,True,1.0,0.1169
j105288,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j105288,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j105288,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j106224,0,delay_sensitive,0.7917,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j106224,0,delay_sensitive,0.7917,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j106544,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j107349,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j107349,0,token_batch,2.5,1.007,18.0,0.5,4978.421,4,1,True,1.0,0.05
j109174,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j113315,0,delay_tolerant,0.655,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j115325,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119267,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119267,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119594,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j119827,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j125286,0,delay_sensitive,1.9533,0.0,14.2667,0.5,0.0,1,3,False,1.0,0.0
j135361,0,token_batch,1.475,1.2725,11.0,0.5,4124.992,4,1,True,1.0,0.0847
j136924,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,False,1.0,0.0
j150730,0,delay_sensitive,1.065,0.0,8.2,0.5,0.0,1,3,False,1.0,0.0
j151786,0,delay_tolerant,0.655,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.0785
j151870,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j157216,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j157216,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,0.5867,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,1.1333,0.0,8.6667,0.5,0.0,1,3,False,1.0,0.0
j161522,0,delay_tolerant,1.1333,0.0,8.6667,0.5,0.0,3,2,True,1.0,0.05
j168048,0,token_batch,1.475,0.0,11.0,0.5,4280.258,4,1,False,1.0,0.0
j173711,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j176671,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j178360,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j187281,0,delay_tolerant,0.7917,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j187281,0,delay_tolerant,0.5183,0.0,7.7333,0.5,0.0,3,2,True,1.0,0.05
j194394,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j194394,0,delay_sensitive,1.065,0.0,8.2,0.5,0.0,1,3,False,1.0,0.0
j194394,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j197012,0,delay_sensitive,1.27,0.0,9.6,0.5,0.0,1,3,False,1.0,0.0
j197012,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j197613,0,token_batch,1.475,1.2675,11.0,0.5,4540.3,4,1,True,1.0,0.05
j200104,0,delay_sensitive,1.27,0.0,9.6,0.5,0.0,1,3,False,1.0,0.0
j211092,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j216877,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j221281,0,token_batch,1.475,1.1821,11.0,0.5,3959.15,4,1,True,1.0,0.05
j221783,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j223710,0,token_batch,1.475,1.4636,11.0,0.5,4290.812,4,1,True,1.0,0.05
j225972,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j230069,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,0.9967,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
