task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
j119594,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j600349,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j728811,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,1.27,0.0,9.6,0.5,0.0,1,3,False,1.0,0.0
j54287,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j54287,0,delay_sensitive,1.27,0.0,9.6,0.5,0.0,1,3,False,1.0,0.0
j650514,0,delay_sensitive,1.065,0.0,8.2,0.5,0.0,1,3,False,1.0,0.0
j54287,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j387830,0,delay_sensitive,0.9967,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j525230,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j757631,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j131110,0,delay_sensitive,1.3383,0.0,10.0667,0.5,0.0,1,3,False,1.0,0.0
j806950,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j241884,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j700313,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j610121,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j700313,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j269438,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j142475,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j43281,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j757631,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j382275,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j734726,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j454954,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j387830,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j45254,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j224254,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j700313,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j341542,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j744102,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j613886,0,delay_sensitive,2.5,0.0,18.0,0.5,0.0,1,3,False,1.0,0.0
j360424,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j126584,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j806950,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j357491,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j293870,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j62803,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,1.27,0.0,9.6,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j530239,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j650514,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j109174,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j732507,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j610121,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j54287,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j525230,0,delay_sensitive,1.4067,0.0,10.5333,0.5,0.0,1,3,False,1.0,0.0
j571568,0,delay_sensitive,0.7917,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j647487,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j62803,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j54287,0,delay_sensitive,1.2017,0.0,9.1333,0.5,0.0,1,3,False,1.0,0.0
j158021,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j83983,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j176671,0,delay_sensitive,1.3383,0.0,10.0667,0.5,0.0,1,3,False,1.0,0.0
j341737,0,delay_sensitive,1.065,0.0,8.2,0.5,0.0,1,3,False,1.0,0.0
j757631,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j610121,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j650514,0,delay_sensitive,0.86,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j230254,0,delay_sensitive,1.475,0.0,11.0,0.5,0.0,1,3,False,1.0,0.0
j269438,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j534401,0,delay_sensitive,0.5183,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j62803,0,delay_sensitive,0.655,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j43281,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j610121,0,delay_sensitive,0.9283,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
j600349,0,delay_sensitive,0.7233,0.0,7.7333,0.5,0.0,1,3,False,1.0,0.0
