task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
s-00-000,0,delay_sensitive,0.913,0.0,5.65,0.534,0.0,1,3,False,1.4,0.0
s-00-001,0,delay_sensitive,1.238,0.0,9.353,0.452,0.0,1,3,False,1.4,0.0
s-00-002,0,delay_sensitive,0.915,0.0,5.312,0.703,0.0,1,3,False,1.4,0.0
s-00-003,0,delay_sensitive,0.999,0.0,7.899,0.727,0.0,1,3,True,1.4,0.25
s-00-004,0,delay_sensitive,1.195,0.0,8.857,0.404,0.0,1,3,False,1.4,0.0
s-00-005,0,delay_sensitive,1.249,0.0,6.042,0.493,0.0,1,3,False,1.4,0.0
s-00-006,0,delay_sensitive,1.068,0.0,4.556,0.458,0.0,1,3,False,1.4,0.0
s-00-007,0,delay_sensitive,1.202,0.0,8.843,0.838,0.0,1,3,False,1.4,0.0
s-00-008,0,delay_sensitive,1.387,0.0,6.271,0.731,0.0,1,3,False,1.4,0.0
s-00-009,0,delay_sensitive,1.209,0.0,9.17,0.746,0.0,1,3,False,1.4,0.0
s-00-010,0,delay_sensitive,0.923,0.0,5.367,0.574,0.0,1,3,False,1.4,0.0
s-00-011,0,delay_sensitive,1.016,0.0,4.606,0.567,0.0,1,3,False,1.4,0.0
s-00-012,0,delay_sensitive,1.082,0.0,6.221,0.526,0.0,1,3,False,1.4,0.0
s-00-013,0,delay_sensitive,1.368,0.0,7.888,0.765,0.0,1,3,False,1.4,0.0
s-00-014,0,delay_sensitive,1.265,0.0,4.98,0.628,0.0,1,3,False,1.4,0.0
s-00-015,0,delay_sensitive,1.22,0.0,7.342,0.811,0.0,1,3,False,1.4,0.0
s-00-016,0,delay_sensitive,1.288,0.0,5.374,0.419,0.0,1,3,False,1.4,0.0
s-00-017,0,delay_sensitive,1.034,0.0,5.266,0.966,0.0,1,3,False,1.4,0.0
s-00-018,0,delay_sensitive,1.057,0.0,7.933,0.637,0.0,1,3,False,1.4,0.0
s-00-019,0,delay_sensitive,1.129,0.0,5.589,0.548,0.0,1,3,False,1.4,0.0
s-00-020,0,delay_sensitive,1.031,0.0,7.508,0.939,0.0,1,3,False,1.4,0.0
s-00-021,0,delay_sensitive,1.01,0.0,9.985,0.706,0.0,1,3,False,1.4,0.0
s-00-022,0,delay_sensitive,0.924,0.0,4.658,0.776,0.0,1,3,False,1.4,0.0
s-00-023,0,delay_sensitive,1.111,0.0,4.381,0.629,0.0,1,3,False,1.4,0.0
s-00-024,0,delay_sensitive,1.165,0.0,9.826,0.916,0.0,1,3,False,1.4,0.0
s-00-025,0,delay_sensitive,1.26,0.0,8.09,0.722,0.0,1,3,True,1.4,0.25
s-00-026,0,delay_sensitive,1.22,0.0,4.669,0.661,0.0,1,3,False,1.4,0.0
s-00-027,0,delay_sensitive,1.377,0.0,9.255,0.558,0.0,1,3,False,1.4,0.0
