task_id,arrival_time,task_type,cpu_demand,gpu_demand,memory_demand,bandwidth_demand,token_amount,deadline,priority,migratable,migration_cost_weight,migration_delay_penalty
s-00-000,0,delay_sensitive,0.913,0.0,5.65,0.534,0.0,1,3,False,1.5,0.0
s-00-001,0,delay_sensitive,1.238,0.0,9.353,0.452,0.0,1,3,False,1.5,0.0
t-00-000,0,delay_tolerant,0.837,0.0,4.396,0.661,322.048,3,2,True,0.9,0.06
s-01-000,1,delay_sensitive,1.251,0.0,6.517,0.67,0.0,2,3,False,1.5,0.0
s-01-001,1,delay_sensitive,1.335,0.0,8.553,0.496,0.0,2,3,False,1.5,0.0
t-01-000,1,delay_tolerant,0.862,0.0,8.743,0.502,153.389,4,2,True,0.9,0.06
s-02-000,2,delay_sensitive,1.324,0.0,7.622,0.884,0.0,3,3,False,1.5,0.0
s-02-001,2,delay_sensitive,1.168,0.0,9.839,0.627,0.0,3,3,False,1.5,0.0
t-02-000,2,delay_tolerant,1.051,0.0,8.313,0.517,189.224,6,2,True,0.9,0.06
s-03-000,3,delay_sensitive,1.231,0.0,8.638,0.991,0.0,4,3,False,1.5,0.0
t-03-000,3,delay_tolerant,0.952,0.0,5.72,0.8,178.555,5,2,False,0.9,0.0
s-04-000,4,delay_sensitive,1.235,0.0,8.211,0.81,0.0,5,3,False,1.5,0.0
t-04-000,4,delay_tolerant,0.868,0.0,7.375,0.398,256.604,6,2,True,0.9,0.06
s-05-000,5,delay_sensitive,1.22,0.0,7.342,0.811,0.0,6,3,False,1.5,0.0
s-05-001,5,delay_sensitive,1.288,0.0,5.374,0.419,0.0,6,3,False,1.5,0.0
t-05-000,5,delay_tolerant,0.826,0.0,8.479,0.64,378.449,8,2,True,0.9,0.06
s-06-000,6,delay_sensitive,1.15,0.0,9.308,0.786,0.0,7,3,False,1.5,0.0
s-06-001,6,delay_sensitive,0.97,0.0,8.47,0.723,0.0,7,3,False,1.5,0.0
t-06-000,6,delay_tolerant,1.159,0.0,5.396,0.432,479.114,10,2,True,0.9,0.06
s-07-000,7,delay_sensitive,0.945,0.0,4.283,0.466,0.0,8,3,False,1.5,0.0
s-07-001,7,delay_sensitive,1.296,0.0,6.533,0.438,0.0,8,3,False,1.5,0.0
t-07-000,7,delay_tolerant,0.987,0.0,4.508,0.632,459.275,10,2,True,0.9,0.06
g-07-000,7,token_batch,0.554,1.251,15.686,1.004,3992.0,9,1,True,0.95,0.06
s-08-000,8,delay_sensitive,0.979,0.0,4.019,0.833,0.0,9,3,False,1.5,0.0
s-08-001,8,delay_sensitive,1.386,0.0,8.572,0.705,0.0,9,3,False,1.5,0.0
s-08-002,8,delay_sensitive,1.213,0.0,9.05,0.705,0.0,9,3,False,1.5,0.0
t-08-000,8,delay_tolerant,1.105,0.0,6.236,0.767,310.927,10,2,True,0.9,0.06
t-08-001,8,delay_tolerant,0.995,0.0,3.671,0.518,474.716,10,2,True,0.9,0.06
g-08-000,8,token_batch,0.223,1.327,17.469,0.851,2180.0,12,1,True,0.95,0.06
