hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,domestic_export_tokens,europe_export_tokens,north_america_export_tokens,strategy,price,power_margin_norm
0,683481.9154775183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,42.62,0.6834819154775184
1,639369.9166416501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,40.53,0.6393699166416501
2,566156.721699095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,34.475,0.566156721699095
3,475130.238145405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,40.45,0.475130238145405
4,425812.2763484457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,27.825,0.4258122763484457
5,125639.5945903557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,36.66,0.1256395945903557
6,71286.9093437869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,39.635,0.0712869093437869
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,38.355,0.0
8,58703.2617899673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,41.75,0.0587032617899673
9,265756.0674597552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,44.870000000000005,0.2657560674597552
10,295619.7152466959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,55.86000000000001,0.2956197152466959
11,345456.4317134951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,50.165,0.3454564317134951
12,395290.439878778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,44.21,0.395290439878778
13,429536.97870896815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,42.165,0.4295369787089681
14,482663.83477344736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,42.66,0.4826638347734474
15,456223.4972648837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,56.835,0.4562234972648837
16,456966.17043826246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,69.58,0.4569661704382625
