策略,地区,出口Token量,占比,备注
不出口,国内,0.0,0.0,零出口基准，仅用于表格对照，不参与主要图表展示
不出口,欧洲,0.0,0.0,零出口基准，仅用于表格对照，不参与主要图表展示
不出口,北美,0.0,0.0,零出口基准，仅用于表格对照，不参与主要图表展示
仅功率裕度,国内,1991804.2271224484,0.3333333333333333,实际Token出口策略
仅功率裕度,欧洲,1991804.2271224484,0.3333333333333333,实际Token出口策略
仅功率裕度,北美,1991804.2271224484,0.3333333333333333,实际Token出口策略
电价驱动,国内,0.0,0.0,实际Token出口策略
电价驱动,欧洲,0.0,0.0,实际Token出口策略
电价驱动,北美,4695158.176930429,1.0,实际Token出口策略
时延感知,国内,4381969.299669387,0.8,实际Token出口策略
时延感知,欧洲,821619.24368801,0.15000000000000002,实际Token出口策略
时延感知,北美,273873.0812293367,0.05,实际Token出口策略
RH-TEO策略,国内,1825390.4811855617,0.2203608692965749,实际Token出口策略
RH-TEO策略,欧洲,5026138.371745652,0.6067546819261368,实际Token出口策略
RH-TEO策略,北美,1432112.8254324785,0.17288444877728834,实际Token出口策略
