parameter,value,total_export_tokens,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,domestic_export_tokens,europe_export_tokens,north_america_export_tokens,north_america_export_share
base_token_sla_hours,0.12,9959021.135612242,11.570081516406663,0.40055366699331796,1.0,0.0,3665708.1597477887,6293312.975864453,0.6319208374164741
base_token_sla_hours,0.2,9959021.135612242,11.570081516406663,0.40055366699331796,1.0,0.0,3665708.1597477887,6293312.975864453,0.6319208374164741
base_token_sla_hours,0.3,8283641.678363692,8.665399364766092,0.3082797187380735,0.17288444877728834,1825390.4811855617,5026138.371745652,1432112.8254324785,0.17288444877728834
base_token_sla_hours,0.4,9493608.68457688,10.013395471478493,0.3446620052956218,0.0,938887.3320383311,7158483.999432465,1396237.3531060847,0.1470712981223234
latency_scale,0.8,8283641.678363692,8.665399364766092,0.28903934146638216,0.17288444877728834,1825390.4811855617,5026138.371745652,1432112.8254324785,0.17288444877728834
latency_scale,1.0,8283641.678363692,8.665399364766092,0.3082797187380735,0.17288444877728834,1825390.4811855617,5026138.371745652,1432112.8254324785,0.17288444877728834
latency_scale,1.5,9959021.135612242,9.695050959678854,0.34987146101905303,0.45151411904284855,5462382.4810371725,3194516.0002763458,1302122.6542987241,0.13074805611592616
latency_scale,2.0,9959021.135612242,9.078489037938198,0.3550803883263252,0.3423810256507173,6549241.264724151,2768703.7239279,641076.146960191,0.06437140138881532
north_america_price_multiplier,1.0,8283641.678363692,8.665399364766092,0.3082797187380735,0.17288444877728834,1825390.4811855617,5026138.371745652,1432112.8254324785,0.17288444877728834
north_america_price_multiplier,1.2,9160392.135543156,12.334409489226916,0.39272933598499377,0.7384514805964474,0.0,2395887.0002072593,6764505.135335896,0.7384514805964474
north_america_price_multiplier,1.5,9959021.135612242,17.048003822509575,0.43,1.0,0.0,0.0,9959021.135612242,1.0
north_america_price_multiplier,1.8,9959021.135612242,20.513873604968307,0.43,1.0,0.0,0.0,9959021.135612242,1.0
window_size_hours,2.0,8265819.951027745,8.946468424878542,0.31541002920244365,0.21659834177431503,1395853.5024765935,5079603.5537534915,1790362.8947976595,0.21659834177431503
window_size_hours,4.0,8283641.678363692,8.665399364766092,0.3082797187380735,0.17288444877728834,1825390.4811855617,5026138.371745652,1432112.8254324785,0.17288444877728834
window_size_hours,6.0,8315051.577011281,8.430616834002512,0.3027481214190465,0.13980213704962793,2220680.9210643396,4931908.675802885,1162461.980144056,0.13980213704962793
token_per_margin_unit_factor,0.8,6626913.342690954,6.932319491812874,0.30827971873807347,0.1728844487772883,1460312.3849484492,4020910.6973965215,1145690.2603459826,0.1728844487772883
token_per_margin_unit_factor,1.0,8283641.678363692,8.665399364766092,0.3082797187380735,0.17288444877728834,1825390.4811855617,5026138.371745652,1432112.8254324785,0.17288444877728834
token_per_margin_unit_factor,1.2,9940370.01403643,10.398479237719311,0.30827971873807347,0.17288444877728834,2190468.577422674,6031366.046094783,1718535.390518974,0.17288444877728834
