小时,电价,CPU IT功率/kW,GPU IT功率/kW,制冷功率/kW,固定功率/kW,本地总功率/kW,远端网络能耗/kWh,等效总功率/kW
0,0.28,0.8359028571428571,2.6002181818181818,1.1266843220779221,1.1,5.662805361038961,0.0,5.662805361038961
1,0.28,2.44764,2.2126363636363635,1.3933508727272725,1.1,7.153627236363636,0.0,7.153627236363636
2,0.28,1.4788628571428573,2.8021818181818183,1.3436034493506495,1.1,6.7246481246753245,0.0,6.7246481246753245
3,0.28,2.1978771428571426,2.067981818181818,1.2885648779220777,1.1,6.654423838961037,0.0,6.654423838961037
4,0.28,0.8398114285714285,2.7605636363636368,1.1773294701298704,1.1,5.877704535064936,0.0,5.877704535064936
5,0.28,3.3974485714285714,2.8541090909090903,1.8201614753246753,1.1,9.171719137662338,0.0,9.171719137662338
6,0.86,1.4606399999999997,2.682309090909091,1.302069418181818,1.1,6.545018509090909,0.0,6.545018509090909
7,0.86,3.535731428571428,4.2478727272727275,2.2854160883116883,1.1,11.169020244155844,0.0,11.169020244155844
8,1.36,2.0995799999999996,3.2612000000000005,1.6348712,1.1,8.0956512,0.04,8.1356512
9,1.36,2.624957142857143,1.9279454545454544,1.3476528051948051,1.1,7.000555402597403,0.015,7.0155554025974025
10,1.36,4.278334285714286,1.899890909090909,1.7357664103896107,1.1,9.013991605194805,0.025,9.038991605194806
11,1.36,2.0998714285714284,0.0,0.6239691428571428,1.1,3.8238405714285713,0.05999999999999999,3.8838405714285713
12,0.86,5.038217142857144,0.9108363636363636,1.6115313870129873,1.1,8.660584893506496,0.0,8.660584893506496
13,0.86,1.676494285714286,2.8060909090909085,1.3922468103896102,1.1,6.974832005194804,0.0,6.974832005194804
14,0.86,3.3543257142857144,3.7918181818181815,2.1005018077922077,1.1,10.346645703896103,0.0,10.346645703896103
15,0.86,3.7745399999999996,0.9174363636363637,1.3102948727272725,1.1,7.102271236363636,0.0,7.102271236363636
16,1.36,5.135931428571428,0.0,1.3526235428571427,1.1,7.588554971428572,0.06499999999999999,7.653554971428572
17,1.36,3.791957142857142,0.0,1.030069714285714,1.1,5.922026857142857,0.06499999999999999,5.987026857142857
18,1.36,4.69434857142857,0.9497272727272726,1.5410591116883112,1.1,8.285134955844153,0.01,8.295134955844153
19,1.36,3.3562114285714273,0.9181454545454545,1.2101158337662334,1.1,6.5844727168831145,0.06499999999999999,6.649472716883115
20,0.86,5.239988571428572,0.0,1.3775972571428574,1.1,7.71758582857143,0.0,7.71758582857143
21,0.86,2.094282857142856,1.8907818181818183,1.208770249350649,1.1,6.293834924675323,0.0,6.293834924675323
22,0.28,0.8336914285714287,2.819509090909091,1.194133761038961,1.1,5.947334280519481,0.0,5.947334280519481
23,0.28,3.777865714285714,3.769727272727272,2.1953032259740257,1.1,10.84289621298701,0.0,10.84289621298701
