hour,price,hourly_power_cap,high_price_flag,low_price_flag,hourly_task_arrivals,hourly_cpu_demand,hourly_completed_tasks,hourly_deadline_violation_rate,hourly_actual_power_w,hourly_reported_power_w,hourly_power_cap_w,hourly_frequency_ghz,dvfs_tracking_error,arrival_rate,cluster_cap_norm,server_load_norm,chip_power_norm,power_margin_norm,alpha,beta
0,42.62,1.0,0,0,3173.0,28280.0,3173.0,0.0,726.5889777777777,684.2303306666668,767.0241333333333,1.0895555555555556,0.05522466017728639,3173,1.0,0.10573820446957036,0.9831511963763726,0.45555529957702856,0.5,0.5
1,40.53,1.0,0,0,12658.0,123850.0,12658.0,0.0,733.4065777777778,684.1421617777778,773.3415666666667,1.0908888888888888,0.06370330798633304,12658,1.0,0.46307201639166506,0.9923761251895175,0.27227592920940874,0.5,0.5
2,34.475,1.0,0,1,25633.0,267453.0,25508.0,0.00487652635274841,739.0409333333333,682.4154066666667,778.0670222222221,1.1017777777777777,0.07277718377645606,25633,1.0,1.0,1.0,0.0,0.5,0.5
3,40.449999999999996,0.9135130833333333,0,0,6422.0,54258.0,5410.0,0.15758330738087822,733.0353777777777,678.0372518888889,781.9861333333333,1.0908888888888888,0.07033133139388423,6422,0.9135130833333333,0.2028692891835201,0.9918738526045257,0.3161415124393103,0.5,0.5
4,27.825,0.9319022499999999,0,1,2119.0,13344.0,2119.0,0.0,733.8510222222222,680.8271278888889,784.224011111111,1.0917777777777777,0.06761319926714256,2119,0.9319022499999999,0.049892878374892036,0.9929775052002834,0.41046705821241225,0.5,0.5
5,36.66,0.7375484999999999,0,1,960.0,6751.0,960.0,0.0,732.7531555555555,682.0681263333335,782.4483111111111,1.0955555555555556,0.06477747923086073,960,0.7375484999999999,0.025241818188616316,0.9914919762976893,0.22918160275684718,0.5,0.5
6,39.635,0.7506714166666667,0,0,290.0,1957.0,290.0,0.0,732.9294222222222,680.5945331111111,782.7031555555556,1.0906666666666667,0.06686428787164439,290,0.7506714166666667,0.007317173484687029,0.9917304836099591,0.2511475881193436,0.5,0.5
7,38.355,0.7989143333333333,0,0,66.0,399.0,66.0,0.0,734.2634666666667,681.0553387777778,784.8699888888889,1.0917777777777777,0.06779228234247253,66,0.7989143333333333,0.0014918509046449283,0.993535585850274,0.30140061495587384,0.5,0.5
8,41.75,0.6611578333333333,0,0,0.0,0.0,0.0,0.0,720.9378666666667,674.0371185555556,773.0546444444445,1.0844444444444445,0.060669382750835506,0,0.6611578333333333,0.0,0.9755046495394842,0.17340550856359122,0.5,0.5
9,44.870000000000005,0.5931022499999999,0,0,0.0,0.0,0.0,0.0,717.9555555555555,676.1691464444444,756.0202333333333,1.076,0.05527154865534827,0,0.5931022499999999,0.0,0.9714692693912428,0.10736761530437855,0.5,0.5
10,55.86000000000001,0.5019839166666666,1,0,0.0,0.0,0.0,0.0,709.0412,673.1417485555555,742.7420000000001,1.0722222222222222,0.04833367635658745,0,0.5019839166666666,0.0,0.9594072101013079,0.022280311616012682,0.5,0.5
11,50.165,0.5358406666666666,1,0,0.0,0.0,0.0,0.0,707.1189333333334,667.7580737777778,728.1241333333332,1.0655555555555556,0.05405789720959069,0,0.5358406666666666,0.0,0.9568061814167443,0.05743757595829446,0.5,0.5
12,44.21,0.57076725,0,0,0.0,0.0,0.0,0.0,703.8001777777778,667.5699844444445,714.3560111111111,1.0624444444444443,0.05071727929744832,0,0.57076725,0.0,0.952315556600353,0.09460947169982342,0.5,0.5
13,42.165,0.5898964166666666,0,0,0.0,0.0,0.0,0.0,701.8472888888889,669.8227155555555,700.4513777777778,1.0657777777777777,0.04571990911765091,0,0.5898964166666666,0.0,0.9496730928330477,0.11505987025014275,0.5,0.5
14,42.660000000000004,0.6226579166666667,0,0,0.0,0.0,0.0,0.0,699.5598222222222,670.1017364444444,690.2385333333334,1.0582222222222222,0.04267812409069279,0,0.6226579166666667,0.0,0.9465779101936378,0.1493689615698478,0.5,0.5
15,56.835,0.61032275,1,0,0.0,0.0,0.0,0.0,701.6241777777777,671.6417238888888,685.8624777777777,1.06,0.04371496453054743,0,0.61032275,0.0,0.9493712000676432,0.13563714996617843,0.5,0.5
16,69.58,0.5855605,1,0,0.0,0.0,0.0,0.0,698.5346846846847,673.4796959459459,682.1469369369369,1.0617117117117116,0.03672960674901506,0,0.5855605,0.0,0.9451907914410759,0.1129651042794621,0.5,0.5
17,62.5,0.6566761666666666,1,0,0.0,0.0,0.0,0.0,701.3974774774774,672.3491844594595,685.1993581081082,1.0596846846846846,0.04239392911607896,0,0.6566761666666666,0.0,0.9490644507523139,0.18214394129050965,0.5,0.5
18,53.46,0.7297040833333334,1,0,0.0,0.0,0.0,0.0,695.8694594594594,671.7218820945947,691.7925225225225,1.0599099099099099,0.03490580857511165,0,0.7297040833333334,0.0,0.9415844617981369,0.2589118524342649,0.5,0.5
19,40.87,0.7574356666666667,0,0,0.0,0.0,0.0,0.0,694.6046846846847,672.8420329954955,699.8831756756757,1.0531531531531533,0.031094691865080543,0,0.7574356666666667,0.0,0.9398730886958783,0.2874991223187276,0.5,0.5
20,36.96,0.73391875,0,0,0.0,0.0,0.0,0.0,702.0497297297297,672.7024601351352,713.7084797297298,1.0601351351351351,0.04111940719228653,0,0.73391875,0.0,0.9499470165518974,0.25894524172405126,0.5,0.5
21,29.7,0.70303775,0,1,0.0,0.0,0.0,0.0,707.6473873873874,678.7899882882883,729.57009009009,1.070945945945946,0.03955397773438831,0,0.70303775,0.0,0.957521235252356,0.22427713237382202,0.5,0.5
22,15.719999999999999,0.7021164999999999,0,1,0.0,0.0,0.0,0.0,717.8587387387388,680.2463943693693,746.3397747747747,1.0754504504504505,0.05039573883184753,0,0.7021164999999999,0.0,0.9713382660699788,0.21644736696501055,0.5,0.5
23,12.39,0.6786895833333334,0,1,0.0,0.0,0.0,0.0,725.4926126126127,682.2705475225226,760.6865202702703,1.082882882882883,0.05681981202287288,0,0.6786895833333334,0.0,0.9816676991630044,0.18785573375183118,0.5,0.5
