解编号,总成本,平均时延/h,负载不均衡度,SLA违约率,CPU开机数序列,GPU开机数序列,时间迁移比例序列,空间迁移比例序列,总能耗/kWh,总碳排放/kg,任务完成率,时延敏感任务违约率,CPU平均利用率,GPU平均利用率,峰谷差/kW,Token总量,单位百万Token能耗/kWh,单位百万Token成本,功率上限违约时段数,峰时功率违约时段数,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,完成任务数,任务总数,约束惩罚项
28,6242.2261131879995,3.025291022933922,1.0,0.9882114534011418,"16,15,8,20,15,19,19,12,1,1,3,1,4,3,5,9,1,2,2,1,1,1,1,3","5,4,5,8,2,2,3,4,5,1,4,7,7,5,4,1,2,5,8,1,1,5,7,2","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.0,0.2,0.9,0.2,1.0,0.3,0.8","0.4,0.5,0.5,0.4,0.1,0.4,0.6,0.4,0.4,0.3,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.1,0.5,0.2,0.5,0.3,0.5,0.3",159.1034,90.18438499999999,0.011788546598858167,0.8970810810810811,1.0,0.0,13.104699999999998,0.0,159103400.0,6242226113.188,0,0,0,0.0,0.0,0.0,0.0,605,51321,8954.672614263956
26,6315.202801475999,3.020758575171443,1.0,0.9882504238031216,"16,15,9,20,15,19,19,12,1,1,4,1,4,3,5,9,1,2,2,1,1,1,1,3","5,4,5,8,2,2,3,4,5,1,4,7,7,5,4,1,2,5,8,1,1,5,7,6","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.1,0.2,0.9,0.2,1.0,0.3,0.7","0.4,0.5,0.5,0.4,0.1,0.4,0.6,0.4,0.4,0.3,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.1,0.5,0.2,0.5,0.3,0.5,0.3",161.97899999999998,91.77887299999999,0.011749576196878471,0.8972972972972973,1.0,0.0,13.104699999999998,0.0,161979000.0,6315202801.475999,0,0,0,0.0,0.0,0.0,0.0,603,51321,8951.19988337624
27,6315.202801475999,3.020758575171443,1.0,0.9882504238031216,"16,15,9,20,15,19,19,12,1,1,4,1,4,3,5,9,1,2,2,1,1,1,1,3","5,4,5,8,2,2,3,4,5,1,4,7,7,5,4,1,2,5,8,1,1,5,7,6","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.0,0.2,0.9,0.2,1.0,0.3,0.7","0.4,0.5,0.5,0.4,0.1,0.4,0.6,0.5,0.4,0.3,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.1,0.5,0.2,0.5,0.3,0.5,0.3",161.97899999999998,91.77887299999999,0.011749576196878471,0.8972972972972973,1.0,0.0,13.104699999999998,0.0,161979000.0,6315202801.475999,0,0,0,0.0,0.0,0.0,0.0,603,51321,8951.19988337624
35,6319.660161991999,3.0463301018123534,1.0,0.9880945421952028,"16,15,8,20,15,20,19,12,1,1,4,1,5,3,5,9,1,2,2,1,1,1,1,3","5,7,5,8,2,3,3,4,2,1,3,7,8,5,4,1,2,5,8,1,1,5,7,2","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.1,0.2,0.9,0.2,1.0,0.3,0.7","0.4,0.5,0.5,0.4,0.1,0.4,0.3,0.4,0.4,0.3,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.1,0.2,0.2,0.5,0.3,0.5,0.3",161.1243,91.214148,0.011905457804797256,0.8964324324324324,1.0,0.0,13.104699999999998,0.0,161124300.0,6319660161.992,0,0,0,0.0,0.0,0.0,0.0,611,51321,8972.532542518098
36,6319.660161991999,3.0463301018123534,1.0,0.9880945421952028,"16,15,8,20,15,20,19,12,1,1,4,1,5,3,5,9,1,2,2,1,1,1,1,3","5,7,5,8,2,3,3,4,2,1,3,7,8,5,4,1,2,5,8,1,1,5,7,2","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.4,0.0,0.8,0.2,0.1,0.2,0.9,0.2,1.0,0.3,0.7","0.4,0.5,0.5,0.4,0.1,0.4,0.3,0.4,0.4,0.3,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.1,0.2,0.2,0.5,0.3,0.5,0.3",161.1243,91.214148,0.011905457804797256,0.8964324324324324,1.0,0.0,13.104699999999998,0.0,161124300.0,6319660161.992,0,0,0,0.0,0.0,0.0,0.0,611,51321,8972.532542518098
6,6361.170878903999,2.9997234697456387,1.0,0.9881724829991622,"16,15,8,20,15,20,19,12,1,1,4,1,4,3,5,9,1,2,2,1,1,1,1,3","5,7,5,8,2,3,3,4,5,1,3,7,7,5,4,1,2,5,8,1,1,5,7,6","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.8,0.1,0.2,0.2,0.7,0.0,0.8,0.2,0.6,0.2,0.9,0.2,1.0,0.3,0.1","0.4,0.5,0.5,0.4,0.1,0.4,0.6,0.5,0.4,0.3,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.1,0.2,0.2,0.5,0.3,0.5,0.3",163.3545,92.407018,0.011827517000837864,0.8964324324324324,1.0,0.0,13.104699999999998,0.0,163354500.0,6361170878.903999,0,0,0,0.0,0.0,0.0,0.0,607,51321,8926.31561447118
11,6380.031779004,3.0059142393026366,1.0,0.988191968200152,"16,15,9,20,15,20,19,12,1,1,4,1,4,3,5,9,1,2,2,1,1,1,1,3","5,8,5,8,2,2,3,4,5,1,3,7,7,5,4,1,2,5,8,1,1,5,7,6","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.1,0.2,0.9,0.2,1.0,0.3,0.7","0.4,0.5,0.5,0.4,0.1,0.4,0.3,0.4,0.4,0.3,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.1,0.5,0.2,0.5,0.3,0.5,0.3",163.87529999999998,92.67200299999999,0.011808031799848016,0.8966486486486487,1.0,0.0,13.104699999999998,0.0,163875300.0,6380031779.004,0,0,0,0.0,0.0,0.0,0.0,606,51321,8933.468674897991
34,6383.182365911999,3.0463301018123534,1.0,0.9880945421952028,"16,15,8,20,15,20,19,12,1,1,4,1,5,3,5,9,1,2,2,1,1,1,1,3","5,7,5,8,2,3,3,4,5,1,3,7,7,5,4,1,2,5,8,1,1,5,7,6","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.7,0.0,0.8,0.2,0.0,0.2,0.9,0.2,1.0,0.3,0.1","0.4,0.5,0.5,0.4,0.1,0.4,0.6,0.5,0.4,0.3,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.1,0.2,0.2,0.5,0.3,0.5,0.3",163.87529999999998,92.745538,0.011905457804797256,0.8964324324324324,1.0,0.0,13.104699999999998,0.0,163875300.0,6383182365.912,0,0,0,0.0,0.0,0.0,0.0,611,51321,8972.532542518098
30,6403.351936801999,3.0463301018123534,1.0,0.9880945421952028,"16,15,8,20,15,20,19,12,1,1,4,1,5,3,5,9,1,2,2,1,1,1,1,3","5,4,5,8,2,3,3,4,2,1,3,7,8,5,2,8,2,5,8,1,1,5,7,2","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.4,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.0,0.1,0.5,0.2,0.9,0.3,0.7","0.4,0.5,0.2,0.4,0.1,0.3,0.3,0.4,0.4,0.3,0.0,0.5,0.2,0.2,0.2,0.0,0.0,0.1,0.2,0.2,0.5,0.3,0.5,0.3",162.04129999999998,91.966088,0.011905457804797256,0.8964324324324324,1.0,0.0,13.104699999999998,0.0,162041300.0,6403351936.801999,0,0,0,0.0,0.0,0.0,0.0,611,51321,8972.532542518098
31,6403.351936801999,3.0463301018123534,1.0,0.9880945421952028,"16,15,8,20,15,20,19,12,1,1,4,1,5,3,5,9,1,2,2,1,1,1,1,3","5,4,5,8,2,3,3,4,2,1,3,7,8,5,2,8,2,5,8,1,1,5,7,2","0.0,0.5,0.0,0.6,0.3,0.2,0.6,0.9,0.1,0.9,0.1,0.2,0.2,0.5,0.0,0.8,0.2,0.0,0.1,0.9,0.2,0.9,0.3,0.7","0.4,0.5,0.2,0.4,0.1,0.3,0.6,0.5,0.4,0.3,0.0,0.5,0.2,0.3,0.2,0.0,0.0,0.1,0.6,0.2,0.5,0.3,0.5,0.3",162.04129999999998,91.966088,0.011905457804797256,0.8964324324324324,1.0,0.0,13.104699999999998,0.0,162041300.0,6403351936.801999,0,0,0,0.0,0.0,0.0,0.0,611,51321,8972.532542518098
