solution_id,total_cost,avg_delay_hours,load_imbalance,sla_violation_rate,cpu_servers,gpu_servers,defer_ratio,migration_ratio,total_energy_kwh,total_carbon,completion_rate,delay_sensitive_violation_rate,avg_cpu_utilization,avg_gpu_utilization,peak_valley_gap_kw,total_tokens,unit_token_energy_kwh_per_million,unit_token_cost_per_million,power_limit_violation_hours,peak_limit_violation_hours,remote_task_count,remote_completion_rate,remote_cost,remote_energy_kwh,migration_delay_hours,total_completed_tasks,total_tasks,objective_penalty
3,30861.59350145364,0.06828772565949336,0.012436802389241684,0.0,"24,84,52,115,96,170,99,25,12,30,80,93,140,120,141,154,59,29,22,176,27,124,70,13","53,3,51,40,39,7,45,6,4,22,18,14,15,11,12,31,7,25,48,61,18,7,16,60","0.9,0.1,0.1,0.2,0.4,0.8,0.5,1.0,0.3,0.6,0.4,0.3,0.0,0.3,0.2,0.6,0.3,0.1,0.3,0.6,0.8,0.0,0.4,0.0","0.1,0.3,0.5,0.0,0.6,0.5,0.3,0.4,0.5,0.2,0.2,0.1,0.3,0.4,0.2,0.6,0.2,0.3,0.1,0.4,0.0,0.5,0.6,0.5",779.0061401351,461.04542470408967,0.9804,0.0,0.013395447115148444,0.01944065296303622,56.432,6077545.499,128.17775535588797,5077.969964442324,0,0,163,0.8907103825136612,4.889999999999996,0.8150000000000006,0.14861226993865057,4902,5000,3.2600000000000002
5,31780.93927619557,0.011712383296980605,0.011653088867765426,0.0,"16,127,159,25,96,135,104,24,171,12,81,59,184,116,39,156,112,29,24,58,97,36,192,33","4,47,52,39,50,18,39,3,7,23,9,16,14,10,53,31,6,24,48,57,19,4,18,10","0.2,0.1,0.2,1.0,0.5,0.0,0.5,0.2,0.8,0.7,0.4,0.3,1.0,0.1,1.0,0.3,0.4,0.2,0.3,0.4,1.0,0.0,0.3,0.0","0.1,0.1,0.2,0.2,0.6,0.5,0.3,0.4,0.6,0.2,0.2,0.1,0.3,0.1,0.1,0.5,0.0,0.0,0.1,0.0,0.0,0.5,0.4,0.4",800.3582811548333,471.42547891088935,0.9998,0.0,0.013022867141944677,0.014034671278584729,56.46979023769996,6181062.474999997,129.48555113169823,5141.66284594876,0,0,3,1.0,0.09,0.015,0.1284,4999,5000,0.06
4,33578.20084495081,0.022090458091983487,0.005001946992462974,0.0,"159,85,45,101,68,160,99,49,67,39,24,95,141,18,74,183,63,29,22,60,96,123,16,13","62,62,52,21,39,56,34,3,11,23,17,22,35,11,7,33,44,60,64,8,8,7,50,60","0.9,0.0,0.5,0.2,0.4,0.0,0.5,1.0,0.2,0.9,0.3,0.3,0.0,0.3,0.2,0.9,0.3,0.3,0.3,0.6,0.4,0.6,0.4,0.0","0.5,0.3,0.4,0.0,0.2,0.5,0.3,0.4,0.0,0.1,0.2,0.4,0.0,0.4,0.2,0.1,0.2,0.3,0.3,0.1,0.3,0.0,0.3,0.5",828.4025505883,484.3606118019723,0.9998,0.0,0.012399223408020832,0.012522829287318717,49.83579712416666,6181062.474999995,134.02267877713058,5432.431880564487,0,0,1,1.0,0.03,0.005,0.24020000000000002,4999,5000,0.02
6,34280.31840246757,0.011712382476882137,0.011011758601454369,0.0,"16,127,132,154,99,135,104,115,172,12,81,59,184,116,39,156,112,29,112,58,97,36,192,33","7,45,52,39,50,18,39,3,6,23,10,16,14,10,52,31,6,24,48,57,19,4,30,10","0.2,0.1,0.1,1.0,0.5,0.0,0.3,0.2,0.4,0.7,0.4,0.0,1.0,0.1,0.2,0.3,0.3,0.2,0.3,0.4,1.0,0.9,0.3,0.0","0.1,0.1,0.2,0.2,0.6,0.5,0.3,0.1,0.6,0.2,0.2,0.1,0.3,0.1,0.1,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.4",861.9326811548333,507.01155891088933,0.9998,0.0,0.010276884326239069,0.013294289207493879,49.85539023769998,6181062.474999997,139.44733363252953,5546.0236069637185,0,0,3,1.0,0.09,0.015,0.1284,4999,5000,0.06
7,35356.929183058506,0.017888846641683314,0.005291799309377391,0.0,"159,86,45,99,68,160,98,49,159,39,24,94,176,16,74,183,180,28,14,65,26,123,16,35","62,62,52,22,39,9,34,3,11,56,43,22,14,9,7,33,44,60,64,5,8,7,15,60","0.6,0.0,0.5,0.7,0.7,0.0,0.3,1.0,0.2,0.9,0.3,0.1,0.0,0.3,0.7,0.9,0.4,0.3,0.3,0.6,0.4,0.6,0.2,0.7","0.5,0.3,0.4,0.0,0.6,0.1,0.3,0.4,0.0,0.1,0.3,0.4,0.0,0.4,0.6,0.1,0.4,0.3,0.3,0.4,0.3,0.0,0.3,0.5",845.3531520308,498.6897397957433,0.9994,0.0,0.012369772425124782,0.012774112033050808,51.09244793376667,6176919.918999995,136.85674464234552,5724.038784168433,0,0,8,1.0,0.24,0.04,0.16267500000000001,4997,5000,0.16
14,35806.309358318445,0.01499627627627641,0.005119250127244971,0.0,"89,42,37,98,68,159,98,117,166,11,24,58,32,119,138,87,192,62,17,191,26,189,197,62","61,39,52,60,18,9,33,33,7,40,17,22,15,62,6,4,44,41,58,19,28,7,5,60","0.4,0.0,0.5,0.7,0.7,0.0,0.3,1.0,0.9,0.6,0.7,1.0,0.9,1.0,0.0,0.8,0.0,0.2,0.8,0.6,0.1,0.9,0.7,0.4","0.5,0.3,0.4,0.0,0.3,0.1,0.0,0.5,0.5,0.0,0.1,0.3,0.0,0.4,0.6,0.0,0.5,0.1,0.2,0.3,0.3,0.0,0.5,0.4",897.0981540507332,530.1292144189816,0.999,0.0,0.016737828959656267,0.012585168626251732,44.6496,6176919.918999996,145.2338974464101,5796.79028186515,0,0,12,1.0,0.3600000000000001,0.05999999999999999,0.1572,4995,5000,0.24
8,35890.94508504538,0.011907297711960294,0.00809301189380044,0.0,"27,132,76,151,137,139,103,115,62,61,81,59,47,120,121,159,112,23,79,39,68,31,72,139","27,41,51,39,48,60,39,37,5,51,18,20,35,41,52,31,7,24,60,42,29,8,50,17","0.2,0.2,0.1,1.0,0.5,0.4,0.6,0.3,0.9,0.3,0.4,0.0,1.0,0.1,0.2,0.3,0.3,0.2,0.6,0.9,0.8,1.0,0.4,0.0","0.3,0.1,0.2,0.0,0.6,0.5,0.3,0.5,0.3,0.0,0.0,0.1,0.3,0.0,0.1,0.5,0.2,0.0,0.4,0.0,0.3,0.0,0.6,0.2",910.6578162756,532.207457923688,0.9994,0.0,0.010107785623161834,0.01241871811675233,43.4185172014,6181062.474999997,147.33030445151755,5806.598012916121,0,0,10,1.0,0.30000000000000004,0.049999999999999996,0.14365999999999998,4997,5000,0.2
12,36124.18793857851,0.017888846641683314,0.0051530581180635505,0.0,"159,87,45,114,137,160,98,50,9,38,24,94,176,16,141,183,180,28,16,178,26,123,16,151","63,62,52,22,39,9,33,3,58,55,43,22,14,9,7,35,44,60,11,5,8,7,15,60","0.6,0.0,0.5,0.7,0.5,0.0,0.3,1.0,0.2,0.6,0.3,0.1,0.0,0.3,0.7,0.9,0.4,0.3,0.3,0.6,0.1,0.6,0.4,0.7","0.5,0.3,0.4,0.0,0.6,0.1,0.3,0.4,0.0,0.1,0.1,0.4,0.0,0.4,0.6,0.6,0.4,0.3,0.3,0.4,0.3,0.1,0.3,0.5",889.4843520308,521.9317557957434,0.9994,0.0,0.011928954080474318,0.012774190980064201,51.51164793376667,6176919.918999995,144.00127631487928,5848.252593895824,0,0,8,1.0,0.24,0.04,0.16267500000000001,4997,5000,0.16
11,36334.51093446479,0.012207023165765189,0.005895661833694575,0.0,"142,132,76,151,137,139,117,115,62,12,81,59,47,120,121,159,108,62,79,39,68,31,195,141","27,41,51,39,48,60,39,16,5,51,10,20,35,7,52,31,7,24,60,42,29,8,50,17","0.2,0.2,0.1,1.0,0.5,0.4,0.6,0.3,0.9,0.3,0.4,0.0,1.0,0.1,0.2,0.3,0.3,0.2,0.6,0.9,0.8,1.0,0.4,0.0","0.6,0.1,0.2,0.0,0.6,0.5,0.3,0.5,0.6,0.0,0.0,0.1,0.3,0.0,0.1,0.5,0.2,0.0,0.4,0.2,0.3,0.0,0.6,0.2",931.8448557348333,541.8890081924894,0.9986,0.0,0.0077597524841437225,0.012308888078380625,50.144,6172858.831999997,150.95839401091845,5886.1723430491065,0,0,21,1.0,0.6300000000000003,0.10500000000000002,0.1446666666666667,4993,5000,0.42
17,36586.0407621348,0.02209045809161849,0.003185708765977359,0.0,"158,106,61,113,69,169,61,50,12,69,24,94,176,14,75,31,163,133,53,56,69,123,37,36","29,59,52,50,35,9,33,32,60,37,44,22,6,10,29,33,56,55,63,5,26,42,14,60","0.9,0.0,0.3,0.9,0.5,0.4,0.1,1.0,0.1,0.3,0.2,0.7,0.2,0.3,0.3,0.7,0.3,0.3,0.4,0.8,0.8,0.6,0.4,0.7","0.5,0.4,0.4,0.3,0.6,0.1,0.2,0.4,0.3,0.1,0.3,0.4,0.1,0.6,0.1,0.5,0.5,0.3,0.3,0.4,0.3,0.1,0.6,0.6",882.9881505883,522.1310438019723,0.9998,0.0,0.009777169091084238,0.011273761319658293,48.84479999999999,6181062.474999995,142.85378187967606,5919.053708017217,0,0,1,1.0,0.03,0.005,0.24020000000000002,4999,5000,0.02
