场景,总能耗/kWh,总成本,平均时延/h,SLA违约率,任务完成率,CPU平均利用率,GPU平均利用率,负载不均衡度,峰谷差/kW,单位百万Token能耗/kWh,单位百万Token成本,远端迁移任务数,远端任务完成率,远端执行成本,远端网络能耗/kWh,迁移平均时延/h,配置跨区时延/h
基准场景,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
低负载0.8x,223.90630891428572,8695.76309742618,1.8382629949655687,0.9013196338137904,0.09868036618620958,0.3999559239741218,0.47489587842712844,0.12921523020608425,16.63426892987013,110.67853123944303,4298.379497639397,0,0.0,0.0,0.0,0.0,0.05
高负载1.2x,218.50866582337662,8537.832478254904,1.7052862191817508,0.931658063049901,0.06834193695009902,0.3916699306550106,0.4478147637085137,0.1822694316170115,18.81218147012987,119.2442018860227,4659.25237275945,0,0.0,0.0,0.0,0.0,0.05
GPU数量减半,146.1359,5723.224436162,4.799250482680553,0.9873346193565986,0.012665380643401336,1.0,0.0,1.0,11.2707,146135900.0,5723224436.162,0,0.0,0.0,0.0,0.0,0.05
功率上限收紧,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
低远端容量,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
高远端容量,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
低迁移成本,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
高迁移成本,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
低跨区时延,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.05
中跨区时延,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.2
高跨区时延,162.0364,6313.892410842,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6313892410.842,0,0.0,0.0,0.0,0.0,0.5
高电价波动,162.0364,6180.568622353199,4.630186203106085,0.9867695485278931,0.013230451472106934,1.0,0.0,1.0,12.1877,162036400.0,6180568622.3532,0,0.0,0.0,0.0,0.0,0.05
