hour,token_capacity,export_tokens,token_export_revenue,token_energy_cost,net_token_profit,avg_cross_timezone_delay,token_sla_violation_rate,energy_per_million_tokens,cost_per_million_tokens,utility,export_ramp_tokens,asia_export_tokens,europe_export_tokens,america_export_tokens,strategy,price,power_margin_norm
0,455555.2995770285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,42.62,0.4555552995770285
1,272275.9292094087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,40.53,0.2722759292094087
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,34.475,0.0
3,316141.5124393103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,40.45,0.3161415124393103
4,410467.0582124122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,27.825,0.4104670582124122
5,229181.6027568471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,36.66,0.2291816027568471
6,251147.58811934362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,39.635,0.2511475881193436
7,301400.61495587375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,38.355,0.3014006149558738
8,173405.5085635912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,41.75,0.1734055085635912
9,107367.61530437849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,44.870000000000005,0.1073676153043785
10,22280.311616012597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,55.86000000000001,0.0222803116160126
11,57437.5759582944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,50.165,0.0574375759582944
12,94609.47169982339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,44.21,0.0946094716998234
13,115059.8702501427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,42.165,0.1150598702501427
14,149368.9615698478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,42.66,0.1493689615698478
15,135637.1499661784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,56.835,0.1356371499661784
16,112965.1042794621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,69.58,0.1129651042794621
17,182143.9412905096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,62.5,0.1821439412905096
18,258911.8524342649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,53.46,0.2589118524342649
19,287499.1223187276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,40.87,0.2874991223187276
20,258945.24172405121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,36.96,0.2589452417240512
21,224277.13237382198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,29.7,0.224277132373822
22,216447.3669650105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,15.72,0.2164473669650105
23,187855.73375183108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No-Export,12.39,0.1878557337518311
0,455555.2995770285,273333.1797462171,0.2733331797462171,0.008199927478881477,0.26513325226733564,0.25,0.3333333333333333,0.7038890552749315,0.029999751535817576,-0.258755342246247,273333.1797462171,91111.0599154057,91111.0599154057,91111.0599154057,Power-Margin-Only,42.62,0.4555552995770285
1,272275.9292094087,163365.5575256452,0.16336555752564522,0.005449389277793319,0.1579161682478519,0.24999999999999994,0.3333333333333333,0.8230206460138844,0.033357026782942736,-0.15520115034296808,109967.62222057188,54455.185841881736,54455.185841881736,54455.185841881736,Power-Margin-Only,40.53,0.2722759292094087
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163365.5575256452,0.0,0.0,0.0,Power-Margin-Only,34.475,0.0
3,316141.5124393103,189684.9074635862,0.1896849074635862,0.006096064967550153,0.18358884249603605,0.25,0.3333333333333333,0.7945080169144483,0.03213784928418944,-0.17997389680917075,189684.9074635862,63228.30248786206,63228.30248786206,63228.30248786206,Power-Margin-Only,40.45,0.3161415124393103
4,410467.0582124122,246280.23492744728,0.2462802349274473,0.005024409907474498,0.2412558250199728,0.25,0.33333333333333337,0.7331964121619321,0.020401190168405758,-0.2307812919243012,56595.32746386109,82093.41164248243,82093.41164248243,82093.41164248243,Power-Margin-Only,27.825,0.4104670582124122
5,229181.6027568471,137508.96165410825,0.12375806548869744,0.004290118936474498,0.11946794655222295,0.25,0.33333333333333337,0.8510319582080494,0.03119883158790709,-0.14409089661815122,108771.27327333903,45836.32055136942,45836.32055136942,45836.32055136942,Power-Margin-Only,36.66,0.2291816027568471
6,251147.58811934362,150688.55287160617,0.13561969758444553,0.004997547803236195,0.13062214978120934,0.24999999999999994,0.3333333333333333,0.8367540677224266,0.03316474747417837,-0.15819757655603583,13179.591217497917,50229.51762386872,50229.51762386872,50229.51762386872,Power-Margin-Only,39.635,0.2511475881193436
7,301400.61495587375,180840.36897352425,0.16275633207617185,0.005577271890383249,0.1571790601857886,0.25,0.3333333333333333,0.804089600278682,0.030840856618688847,-0.1894316470134662,30151.816101918084,60280.12299117475,60280.12299117475,60280.12299117475,Power-Margin-Only,38.355,0.3014006149558738
8,173405.5085635912,104043.30513815471,0.09363897462433925,0.0038542018377267406,0.08978477278661251,0.24999999999999997,0.3333333333333333,0.8872864194336657,0.03704420801135555,-0.10963156206151732,76797.06383536954,34681.101712718235,34681.101712718235,34681.101712718235,Power-Margin-Only,41.75,0.1734055085635912
